,Charlie Baker,1956-11-13,republican,https://twitter.com/massgovernor?lang=en,https://upload.wikimedia.org/wikipedia/commons/e/e6/Charlie_Baker_official_photo.jpg
,William Sapelli,1954-02-17,democrat,https://www.facebook.com/sapelliformayor/,https://www.agawam.ma.us/ImageRepository/Document?documentID=794
,Elizabeth Warren,1949-06-22,democrat,https://twitter.com/ewarren,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Elizabeth_Warren%2C_official_portrait%2C_114th_Congress.jpg/1200px-Elizabeth_Warren%2C_official_portrait%2C_114th_Congress.jpg
,Ed Markey,1946-07-11,democrat,https://twitter.com/SenMarkey,https://www.wamc.org/sites/wamc/files/styles/medium/public/201212/Ed_Markey_official_headshot.JPG
,Kassandra Gove,,independent,https://www.facebook.com/kassandragovemayor/,https://scontent-sea1-1.xx.fbcdn.net/v/t1.0-9/120194861_1820709694734065_6203646612021711830_o.jpg?_nc_cat=105&_nc_sid=85a577&_nc_ohc=vn3H7iKTdogAX9Ap4m_&_nc_ht=scontent-sea1-1.xx&oh=85b3bec9a0cfad1b46edd9c5b8a2b954&oe=5FB0CB91
,Paul Heroux,,democrat,https://www.facebook.com/paulheroux.org/,https://commonwealthmagazine.org/wp-content/uploads/2016/05/Heroux-Paul.jpg
,Michael Cahill,,democrat,https://www.facebook.com/MayorMikeCahill/,https://scontent-sea1-1.xx.fbcdn.net/v/t1.0-9/14068234_1067062953408089_8765831776564382086_n.jpg?_nc_cat=111&_nc_sid=85a577&_nc_ohc=bkfxhe2xWkMAX_3i1Iw&_nc_ht=scontent-sea1-1.xx&oh=15e0b5c5c60e338a3c3ac8c3f80d3759&oe=5FAFD29F
,Martin Walsh,,democrat,https://twitter.com/marty_walsh,https://www.uschamberfoundation.org/sites/default/files/styles/bio_thumbnail_220x220/public/Mayor%20Walsh_800_.png?itok=FOwB0twG
,Charles Kokoros,,Republican,https://twitter.com/braintreemayor?lang=en,https://braintreema.gov/ImageRepository/Document?documentID=5040
,Robert Sullivan,,republican,https://www.facebook.com/VoteRobertSullivan/,https://www.electrobertsullivan.com/wp-content/uploads/2019/07/Robert-Sullivan.jpg
,Sumbul Siddiqui,,democrat,,
,John Vieau,,
,Nicole LaChapelle,,democrat,,
,Carlo DeMaria Jr.,,democrat,,
,Paul Coogan,,democrat,,
,Stephen DiNatale,,democrat,,
,Yvonne Spicer,,democrat,,
,Michael Nicholson,,
,Sefatia Romeo Theken,,independent,,
,Roxann Wedegartner,,democrat,,
,James Fiorentini,,democrat,,
,Alex Morse,,democrat,,
,Daniel Rivera,,democrat,,
,Dean Mazzarella,,republican,,
,John Leahy,,independent,,
,Thomas McGee,,democrat,,
,Gary Christenson,,democrat,,
,Arthur Vigeant,,republican,,
,Breanna Lungo-Koehn,,democrat,,
,Paul Brodeur,1964-04-24,democrat,,
,Neil Perry,,democrat,,
,Jon Mitchell,,democrat,,
,Donna Holaday,,democrat,,
,Ruthanne Fuller,,democrat,,
,Thomas Bernard,,democrat,,
,David Narkewicz,1966-04-25,democrat,,
,Edward Bettencourt,,democrat,,
,Linda Tyer,,democrat,,
,Thomas Koch,1963-01-22,independent,,
,Brian Arrigo,,democrat,,
,Kimberly Driscoll,1966-08-12,democrat,,
,Joseph Curtatone,1966-07-28,democrat,,
,Domenic Sarno,1963-05-04,democrat,,
,Shaunna Oâ€™Connell,1970-03-14,republican,,
,Jeannette McCarthy,,independent,,
,Donald Humason,1967-07-31,republican,,
,William Reichelt,,independent,,
,Robert Hedlund,1961-07-12,republican,,
,Scott Galvin,,democrat,,
,Joseph Petty,,democrat,,
,Richard Neal,1949-02-14,democrat,,
,Jim McGovern,1959-11-20,democrat,,
,Lori Trahan,,democrat,,
,Joseph Kennedy III,,democrat,,
,Katherine Clark,,democrat,,
,Seth Moulton,,democrat,,
,Ayanna Pressley,,democrat,,
,Stephen Lynch,,democrat,,
,William Keating,,democrat,,
,Tim Whelan,,republican,,
,William Crocker Jr.,,republican,,
,David Vieira,,republican,,
,Sarah Peake,,democrat,,
,Randy Hunt,,republican,,
,Dylan Fernandes,,democrat,,
,John Barrett III,,democrat,,
,Paul Mark,,democrat,,
,Tricia Farley-Bouvier,,democrat,,
,"William ""Smitty"" Pignatelli",,democrat,,
,F. Jay Barrows,,republican,,
,Jim Hawkins,,democrat,,
,Carol Doherty,,democrat,,
,Steve Howitt,,republican,,
,Patricia Haddad,,democrat,,
,Carole Fiola,,democrat,,
,Alan Silvia,,democrat,,
,Paul Schmid,,democrat,,
,Christopher Markey,,democrat,,
,William M. Straus,,democrat,,
,Christopher Hendricks,,democrat,,
,Norman Orrall,,republican,,
,Antonio Cabral,,democrat,,
,Elizabeth Poirier,,republican,,
,James Kelcourse,,republican,,
,Lenny Mirra,,republican,,
,Andy Vargas,,democrat,,
,Bradford Hill,,republican,,
,Ann-Margaret Ferrante,,democrat,,
,Jerry Parisella,,democrat,,
,Paul Tucker,,democrat,,
,Lori Ehrlich,,democrat,,
,Donald Wong,,republican,,
,Dan Cahill,,democrat,,
,Peter Capano,,democrat,,
,Thomas Walsh,,democrat,,
,Theodore C. Speliotis,,democrat,,
,Christina Minicucci,,democrat,,
,Linda Dean Campbell,,democrat,,
,Marcos Devers,,democrat,,
,Frank A. Moran,,democrat,,
,Tram Nguyen,,democrat,,
,Natalie Blais,,democrat,,
,Susannah Whipps,,independent,,
,Todd Smola,1977-01-16,republican,,
,Brian Ashe,,democrat,,
,Nicholas Boldyga,,republican,,
,Aaron Vega,,democrat,,
,Michael Finn,,democrat,,
,Thomas Petrolati,1957-03-16,democrat,,
,Joseph Wagner,,democrat,,
,Jose Tosado,,democrat,,
,Carlos Gonzalez,,democrat,,
,Bud Williams,,democrat,,
,Angelo Puppolo,,democrat,,
,Lindsay N. Sabadosa,,democrat,,
,Daniel R. Carey,,democrat,,
,Mindy Domb,1959-00-00,democrat,,
,Sheila Harrington,,republican,,
,James Arciero,,democrat,,
,Kate Hogan,,democrat,,
,Danielle Gregoire,,democrat,,
,David Linsky,,democrat,,
,Maria Robinson,,democrat,,
,Jack Patrick Lewis,,democrat,,
,Carolyn Dykema,,democrat,,
,Thomas M. Stanley,,democrat,,
,John J. Lawn,,democrat,,
,Kay Khan,,democrat,,
,Ruth Balser,,democrat,,
,Carmine Gentile,,democrat,,
,Tami Gouveia,,democrat,,
,Michelle Ciccolo,,democrat,,
,Thomas Golden Jr.,,democrat,,
,David Nangle,,democrat,,
,Randy Mom,,democrat,,
,Dave Robertson,,democrat,,
,Bradley Jones Jr. ,,republican,,
,Ken Gordon,,democrat,,
,Marc Lombardo,,republican,,
,Sean Garballey,,democrat,,
,Dave Rogers,,democrat,,
,Marjorie Decker,,democrat,,
,Mike Connolly,,democrat,,
,Denise Provost,,democrat,,
,Joe McGonagle,,democrat,,
,Jon Hecht,,democrat,,
,Richard Haggerty,,democrat,,
,Michael Day,,democrat,,
,Kate Lipper-Garabedian,,democrat,,
,Steven Ultrino,,democrat,,
,Christine Barber,,democrat,,
,Paul Donato,,democrat,,
,Colleen Garry,,democrat,,
,Danillo Sena,,democrat,,
,Bruce Ayers,,democrat,,
,Tackey Chan,,democrat,,
,Ronald Mariano,,democrat,,
,James M. Murphy,,democrat,,
,Mack Cusack,,democrat,,
,William C. Galvin,,democrat,,
,William Driscoll,,democrat,,
,Louis Kafka,,democrat,,
,Shawn Dooley,,republican,,
,Jeffrey Roy,,democrat,,
,Paul McMurtry,,democrat,,
,John H. Rogers,,democrat,,
,Denise Garlick,,democrat,,
,Alice Peisch,,democrat,,
,Tommy Vitolo,,democrat,,
,Matt Muratore,,republican,,
,Susan Williams Gifford,,republican,,
,Joan Meschino,,democrat,,
,Patrick J. Kearney,,democrat,,
,David DeCoste,,republican,,
,Josh S. Cutler,,democrat,,
,Alyson Sullivan,,republican,,
,Angelo D'Emilia,,republican,,
,Gerry Cassidy,,democrat,,
,Michelle DuBois,,democrat,,
,Claire D. Cronin,,democrat,,
,Kathleen LaNatra,,democrat,,
,Adrian Madaro,,democrat,,
,Daniel Joseph Ryan,,democrat,,
,Aaron Michlewitz,,democrat,,
,David Biele,,democrat,,
,Liz Miranda,,democrat,,
,Russell Holmes,,democrat,,
,Chynah Tyler,,democrat,,
,Jay Livingstone,,democrat,,
,Jon Santiago,,democrat,,
,Edward F. Coppinger,,democrat,,
,Liz Malia,,democrat,,
,Dan Cullinane,,democrat,,
,Daniel J. Hunt,,democrat,,
,Angelo Scaccia,,democrat,,
,Nika Elugardo,,democrat,,
,RoseLee Vincent,,democrat,,
,Kevin Honan,,democrat,,
,Michael Moran,,democrat,,
,Robert DeLeo,,democrat,,
,Kimberly Ferguson,,republican,,
,Jonathan Zlotnik,,democrat,,
,Stephan Hay,,democrat,,
,Natalie Higgins,,democrat,,
,Donnie Berthiaume,,republican,,
,Peter Durant,,republican,,
,Paul Frost,,republican,,
,Michael Soter,,republican,,
,David Muradian,,republican,,
,Brian Murray,,democrat,,
,Hannah Kane,,republican,,
,Harold Naughton Jr.,,democrat,,
,John J. Mahoney,,democrat,,
,Jim O'Day,,democrat,,
,Mary Keefe,,democrat,,
,Dan Donahue,,democrat,,
,David LeBoeuf,,democrat,,
,Joseph D. McKenna,,republican,,
,Adam G. Hinds,,democrat,,
,Paul Feeney,,democrat,,
,Michael Rodrigues,,democrat,,
,Mark Montigny,,democrat,,
,Julian Cyr,,democrat,,
,Diana DiZoglio,,democrat,,
,Joan Lovely,,democrat,,
,Brendan Crighton,,democrat,,
,Bruce Tarr,,republican,,
,Barry Finegold,,democrat,,
,James T. Welch,,democrat,,
,Eric Lesser,1985-02-27,democrat,,
,John Velis,1979-01-25,democrat,,
,Jo Comerford,,democrat,,
,Edward J. Kennedy,,democrat,,
,Patricia D. Jehlen,,democrat,,
,Michael J. Barrett,,democrat,,
,Cindy Friedman,,democrat,,
,Jason Lewis,,democrat,,
,Cynthia Stone Creem,,democrat,,
,Karen Spilka,,democrat,,
,Sal DiDomenico,,democrat,,
,Jamie Eldridge,,democrat,,
,Becca Rausch,,democrat,,
,Walter Timilty,,democrat,,
,John F. Keenan,,democrat,,
,Mike Rush,,democrat,,
,Susan Moran,,democrat,,
,Marc Pacheco,,democrat,,
,Micahel Brady,,democrat,,
,Patrick O'Connor,,republican,,
,Nick Collins,,democrat,,
,Sonia Chang-Diaz,,democrat,,
,Joseph Boncore,,democrat,,
,Will Brownsberger,,democrat,,
,Harriette L. Chandler,,democrat,,
,Michael O. Moore,,democrat,,
,Anne Gobi,1962-12-27,democrat,,
,Dean Tran,,republican,,
,Ryan Fattman,,republican,,